�ния в крови меди;R79.0;47831
10047851;Отклонения от нормы, выявленные при гистологических исследованиях мазков из горла;R84.7;47912
10047852;Отклонения от нормы, выявленные при гистологических исследованиях мокроты;R84.7;47913
10047853;Отклонения от нормы, выявленные при гистологических исследованиях носовых выделений;R84.7;47914
10047854;Отклонения от нормы, выявленные при гистологических исследованиях перитонеальной жидкости;R85.7;47915
10047855;Отклонения от нормы, выявленные при гистологических исследованиях плевральной жидкости;R84.7;47916
10047856;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из влагалища;R87.7;47917
10047857;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из вульвы;R87.7;47918
10047858;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из женских половых органов;R87.7;47919
10047859;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из мужских половых органов;R86.7;47920
10047860;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из органа грудной клетки;R84.7;47921
10047861;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из органов дыхания;R84.7;47922
10047862;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из органов пищеварения;R85.7;47923
10047863;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из системы органа;R89.7;47924
10047864;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из ткани;R89.7;47925
10047865;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из уточненного органа;R89.7;47926
10047866;Отклонения от нормы, выявленные при гистологических исследованиях препаратов из шейки матки;R87.7;47927
10047867;Отклонения от нормы, выявленные при гистологических исследованиях раневого отделяемого;R89.7;47928
10047868;Отклонения от нормы, выявленные при гистологических исследованиях секрета предстательной железы;R86.7;47929
10047869;Отклонения от нормы, выявленные при гистологических исследованиях секреторных выделений из влагалища;R87.7;47930
10047870;Отклонения от нормы, выявленные при гистологических исследованиях секреторных выделений из женских половых органов;R87.7;47931
10047871;Отклонения от нормы, выявленные при гистологических исследованиях семенной жидкости;R86.7;47932
10047872;Отклонения от нормы, выявленные при гистологических исследованиях синовиальной жидкости;R89.7;47933
10047873;Отклонения от нормы, выявленные при гистологических исследованиях слюны;R85.7;47934
10047874;Отклонения от нормы, выявленные при гистологических исследованиях спинномозговой жидкости;R83.7;47935
10047875;Отклонения от нормы, выявленные при иммунологических исследованиях амниотической жидкости;R89.4;47936
10047876;Отклонения от нормы, выявленные при иммунологических исследованиях бронхиальных смывов;R84.4;47937
10047877;Отклонения от нормы, выявленные при иммунологических исследованиях выделений из сосков;R89.4;47938
10047878;Отклонения от нормы, выявленные при иммунологических исследованиях жидкости влагалищных выделений;R87.4;47939
10047879;Отклонения от нормы, выявленные при иммунологических исследованиях жидкости из органов дыхания;R84.4;47940
10047880;Отклонения от нормы, выявленные при иммунологических исследованиях мазков из влагалища;R87.4;47941
10047881;Отклонения от нормы, выявленные при иммунологических исследованиях мазков из горла;R84.4;47942
10047882;Отклонения от нормы, выявленные при иммунологических исследованиях мокроты;R84.4;47943
10047883;Отклонения от нормы, выявленные при иммунологических исследованиях носовых выделений;R84.4;47944
10047884;Отклонения от нормы, выявленные при иммунологических исследованиях перитонеальной жидкости;R85.4;47945
10047885;Отклонения от нормы, выявленные при иммунологических исследованиях плевральной жидкости;R84.4;47946
10047886;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из влагалища;R87.4;47947
10047887;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из вульвы;R87.4;47948
10047888;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из женских половых органов;R87.4;47949
10047889;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из мужских половых органов;R86.4;47950
10047890;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из органа грудной клетки;R84.4;47951
10047891;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из органов дыхания;R84.4;47952
10047892;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из органов пищеварения;R85.4;47953
10047893;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из системы органа;R89.4;47954
10047894;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из ткани;R89.4;47955
10047895;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из уточненного органа;R89.4;47956
10047896;Отклонения от нормы, выявленные при иммунологических исследованиях препаратов из шейки матки;R87.4;47957
10047897;Отклонения от нормы, выявленные при иммунологических исследованиях раневого отделяемого;R89.4;47958
10047898;Отклонения от нормы, выявленные при иммунологических исследованиях секрета предстательной железы;R86.4;47959
10047899;Отклонения от нормы, выявленные при иммунологических исследованиях секреторных выделений из влагалища;R87.4;47960
10047900;Отклонения от нормы, выявленные при иммунологических исследованиях секреторных выделений из женских половых органов;R87.4;47961
10047901;Отклонения от нормы, выявленные при иммунологических исследованиях семенной жидкости;R86.4;47962
10047902;Отклонения от нормы, выявленные при иммунологических исследованиях синовиальной жидкости;R89.4;47963
10047903;Отклонения от нормы, выявленные при иммунологических исследованиях слюны;R85.4;47964
10047904;Отклонения от нормы, выявленные при иммунологических исследованиях спинномозговой жидкости;R83.4;47965
10047905;Отклонения от нормы, выявленные при иммунологическом исследовании;R89.4;47966
10047906;Отклонения от нормы, выявленные при иммунологическом исследовании в результате болезни, вызванной ВИЧ;B23.2;47967
10047907;Отклонения от нормы, выявленные при иммунологическом исследовании сыворотки;R76.9;47968
10047908;Отклонения от нормы, выявленные при микробиологических исследованиях амниотической жидкости;R89.5;47969
10047909;Отклонения от нормы, выявленные при микробиологических исследованиях бронхиальных смывов;R84.5;47970
10047910;Отклонения от нормы, выявленные при микробиологических исследованиях выделений из сосков;R89.5;47971
10047911;Отклонения от нормы, выявленные при микробиологических исследованиях жидкости влагалищных выделений;R87.5;47972
10047912;Отклонения от нормы, выявленные при микробиологических исследованиях жидкости из органов дыхания;R84.5;47973
10047913;Отклонения от нормы, выявленные при микробиологических исследованиях мазков из влагалища;R87.5;47974
10047914;Отклонения от нормы, выявленные при микробиологических исследованиях мазков из горла;R84.5;47975
10047915;Отклонения от нормы, выявленные при микробиологических исследованиях мокроты;R84.5;47976
10047916;Отклонения от нормы, выявленные при микробиологических исследованиях носовых выделений;R84.5;47977
10047917;Отклонения от нормы, выявленные при микробиологических исследованиях перитонеальной жидкости;R85.5;47978
10047918;Отклонения от нормы, выявленные при микробиологических исследованиях плевральной жидкости;R84.5;47979
10047919;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из влагалища;R87.5;47980
10047920;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из вульвы;R87.5;47981
10047921;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из женских половых органов;R87.5;47982
10047922;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из мужских половых органов;R86.5;47983
10047923;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из органа грудной клетки;R84.5;47984
10047924;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из органов дыхания;R84.5;47985
10047925;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из органов пищеварения;R85.5;47986
10047926;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из системы органа;R89.5;47987
10047927;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из ткани;R89.5;47988
10047928;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из уточненного органа;R89.5;47989
10047929;Отклонения от нормы, выявленные при микробиологических исследованиях препаратов из шейки матки;R87.5;47990
10047930;Отклонения от нормы, выявленные при микробиологических исследованиях раневого отделяемого;R89.5;47991
10047931;Отклонения от нормы, выявленные при микробиологических исследованиях секрета предстательной железы;R86.5;47992
10047932;Отклонения от нормы, выявленные при микробиологических исследованиях секреторных выделений из влагалища;R87.5;47993
10047933;Отклонения от нормы, выявленные при микробиологических исследованиях секреторных выделений из женских половых органов;R87.5;47994
10047934;Отклонения от нормы, выявленные при микробиологических исследованиях семенной жидкости;R86.5;47995
10047935;Отклонения от нормы, выявленные при микробиологических исследованиях синовиальной жидкости;R89.5;47996
10047936;Отклонения от нормы, выявленные при микробиологических исследованиях слюны;R85.5;47997
10047937;Отклонения от нормы, выявленные при микробиологических исследованиях спинномозговой жидкости;R83.5;47998
10047938;Отклонения от нормы, выявленные при токсикологическом исследовании;R78.9;47999
10047939;Отклонения от нормы, выявленные при функциональном исследовании головного мозга;R94.0;48000
10047940;Отклонения от нормы, выявленные при функциональном исследовании легких;R94.2;48001
10047941;Отклонения от нормы, выявленные при функциональном исследовании мочевого пузыря;R94.8;48002
10047942;Отклонения от нормы, выявленные при функциональном исследовании органов чувств;R94.1;48003
10047943;Отклонения от нормы, выявленные при функциональном исследовании периферической нервной системы;R94.1;48004
10047944;Отклонения от нормы, выявленные при функциональном исследовании печени;R94.5;48005
10047945;Отклонения от нормы, выявленные при функциональном исследовании почек;R94.4;48006
10047946;Отклонения от нормы, выявленные при функциональном исследовании селезенки;R94.8;48007
10047947;Отклонения от нормы, выявленные при функциональном исследовании сердечно-сосудистой системы;R94.3;48008
10047948;Отклонения от нормы, выявленные при функциональном исследовании центральной нервной системы;R94.0;48009
10047949;Отклонения от нормы, выявленные при функциональном исследовании щитовидной железы;R94.6;48010
10047950;Отклонения от нормы, выявленные при функциональном исследовании эндокринных желез;R94.7;48011
10047951;Отклонения от нормы, выявленные при цитологических исследованиях амниотической жидкости;R89.6;48012
10047952;Отклонения от нормы, выявленные при цитологических исследованиях бронхиальных смывов;R84.6;48013
10047953;Отклонения от нормы, выявленные при цитологических исследованиях выделений из сосков;R89.6;48014
10047954;Отклонения от нормы, выявленные при цитологических исследованиях жидкости влагалищных выделений;R87.6;48015
10047955;Отклонения от нормы, выявленные при цитологических исследованиях жидкости из органов дыхания;R84.6;48016
10047956;Отклонения от нормы, выявленные при цитологических исследованиях мазков из влагалища;R87.6;48017
10047957;Отклонения от нормы, выявленные при цитологических исследованиях мазков из горла;R84.6;48018
10047958;Отклонения от нормы, выявленные при цитологических исследованиях мокроты;R84.6;48019
10047959;Отклонения от нормы, выявленные при цитологических исследованиях носовых выделений;R84.6;48020
10047960;Отклонения от нормы, выявленные при цитологических исследованиях перитонеальной жидкости;R85.6;48021
10047961;Отклонения от нормы, выявленные при цитологических исследованиях плевральной жидкости;R84.6;48022
10047962;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из влагалища;R87.6;48023
10047963;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из вульвы;R87.6;48024
10047964;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из женских половых органов;R87.6;48025
10047965;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из мужских половых органов;R86.6;48026
10047966;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из органа грудной клетки;R84.6;48027
10047967;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из органов дыхания;R84.6;48028
10047968;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из органов пищеварения;R85.6;48029
10047969;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из системы органа;R89.6;48030
10047970;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из ткани;R89.6;48031
10047971;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из уточненного органа;R89.6;48032
10047972;Отклонения от нормы, выявленные при цитологических исследованиях препаратов из шейки матки;R87.6;48033
10047973;Отклонения от нормы, выявленные при цитологических исследованиях раневого отделяемого;R89.6;48034
10047974;Отклонения от нормы, выявленные при цитологических исследованиях секрета предстательной железы;R86.6;48035
10047975;Отклонения от нормы, выявленные при цитологических исследованиях секреторных выделений из влагалища;R87.6;48036
10047976;Отклонения от нормы, выявленные при цитологических исследованиях секреторных выделений из женских половых органов;R87.6;48037
10047977;Отклонения от нормы, выявленные при цитологических исследованиях семенной жидкости;R86.6;48038
10047978;Отклонения от нормы, выявленные при цитологических исследованиях синовиальной жидкости;R89.6;48039
10047979;Отклонения от нормы, выявленные при цитологических исследованиях слюны;R85.6;48040
10047980;Отклонения от нормы, выявленные при цитологических исследованиях спинномозговой жидкости;R83.6;48041
10047981;Открытая межпредсердная перегородка;Q21.1;48042
10047982;Открытая слуховая труба;H69.0;48043
10047983;Открытая шейка матки;N88.3;48044
10047984;Открытая шейка матки, осложняющая беременность;O34.3;48045
10047985;Открытая шейка матки, осложняющая беременность, влияние на новорожденного;P01.0;48046
10047986;Открытая шейка матки, осложняющая беременность, влияние на плод;P01.0;48047
10047987;Открытое боталлово отверстие;Q21.1;48048
10047988;Открытое отверстие вторичное;Q21.1;48049
10047989;Открытое отверстие овальное;Q21.1;48050
10047990;Открытый артериальный проток;Q25.0;48051
10047991;Открытый боталлов проток;Q25.0;48052
10047992;Открытый желточный проток;Q43.0;48053
10047993;Открытый канал Нука;Q52.4;48054
10047994;Открытый мочевой проток;Q64.4;48055
10047995;Открытый пупочно-брыжеечный проток;Q43.0;48056
10047996;Открытый угол с глаукомой;H40.1;48057
10047997;Открытый угол с первичной глаукомой;H40.1;48058
10047998;Открытый угол с пограничным внутриглазным давлением;H40.0;48059
10047999;Открытый угол с подозрением на глаукому;H40.0;48060
10048000;Открытый урахус;Q64.4;48061
10048001;Отложение в роговице;H18.0;48062
10048002;Отложение гемосидерина в старых рубцах роговицы;H18.0;48063
10048003;Отложение зубные;K03.6;48064
10048004;Отложение зубные белые;K03.6;48065
10048005;Отложение зубные бетельные;K03.6;48066
10048006;Отложение зубные зеленые;K03.6;48067
10048007;Отложение зубные оранжевые;K03.6;48068
10048008;Отложение зубные табачные;K03.6;48069
10048009;Отложение зубные черные;K03.6;48070
10048010;Отложение холестерина в жидкости;H43.2;48071
10048011;Отложение холестерина в сетчатке;H35.8;48072
10048012;Отложение холестерина в стекловидном теле;H43.2;48073
10048013;Отложения зубные внутренние;K00.8;48074
10048014;Отложения зубные меди;K03.7;48075
10048015;Отложения зубные металла;K03.7;48076
10048016;Отложения зубные серебра;K03.7;48077
10048017;Отложения кожные;R23.8;48078
10048018;Отложения конъюнктивальные;H11.1;48079
10048019;Отложения костные при саркоидозе Бека;D86.8;48080
10048020;Отложения кристаллические в жидкости;H43.2;48081
10048021;Отложения кристаллические в стекловидном теле;H43.2;48082
10048022;Отложения металлические в хрусталике глаза;H26.8;48083
10048023;Отложения уратные в почках;N20.0;48084
10048024;Отлучение ребенка от дома;Z61.1;48085
10048025;Отморожение;T35.7;48086
10048026;Отморожение бедра;T35.5;48087
10048027;Отморожение бедра поверхностное;T33.6;48088
10048028;Отморожение бедра с некрозом ткани;T34.6;48089
10048029;Отморожение верхней конечности;T35.4;48090
10048030;Отморожение верхней конечности поверхностное;T33.4;48091
10048031;Отморожение верхней конечности с некрозом ткани;T34.4;48092
10048032;Отморожение головы;T35.2;48093
10048033;Отморожение головы поверхностное;T33.0;48094
10048034;Отморожение головы с некрозом ткани;T34.0;48095
10048035;Отморожение грудной клетки;T35.3;48096
10048036;Отморожение грудной клетки поверхностное;T33.2;48097
10048037;Отморожение грудной клетки с некрозом ткани;T34.2;48098
10048038;Отморожение запястья;T35.4;48099
10048039;Отморожение запястья и руки;T35.4;48100
10048040;Отморожение запястья поверхностное;T33.5;48101
10048041;Отморожение запястья с некрозом ткани;T34.5;48102
10048042;Отморожение кисти;T35.4;48103
10048043;Отморожение кисти и пальцев;T35.4;48104
10048044;Отморожение кисти поверхностное;T33.5;48105
10048045;Отморожение кисти с некрозом ткани;T34.5;48106
10048046;Отморожение колена;T35.5;48107
10048047;Отморожение колена поверхностное;T33.7;48108
10048048;Отморожение колена с некрозом ткани;T34.7;48109
10048049;Отморожение конечности поверхностное;T33.9;48110
10048050;Отморожение лица;T35.2;48111
10048051;Отморожение лица поверхностное;T33.0;48112
10048052;Отморожение лица с некрозом ткани;T34.0;48113
10048053;Отморожение лодыжки;T35.5;48114
10048054;Отморожение лодыжки и стопы;T35.5;48115
10048055;Отморожение лодыжки поверхностное;T33.8;48116
10048056;Отморожение лодыжки с некрозом ткани;T34.8;48117
10048057;Отморожение множественных областей тела;T35.6;48118
10048058;Отморожение множественных областей тела поверхностное;T35.0;48119
10048059;Отморожение множественных областей тела с некрозом ткани;T35.1;48120
10048060;Отморожение нижней конечности;T35.5;48121
10048061;Отморожение нижней конечности с некрозом ткани;T34.9;48122
10048062;Отморожение нижней части ноги поверхностное;T33.7;48123
10048063;Отморожение нижней части ноги с некрозом ткани;T34.7;48124
10048064;Отморожение одной кисти;T35.4;48125
10048065;Отморожение пальцев руки;T35.4;48126
10048066;Отморожение пальцев руки поверхностное;T33.5;48127
10048067;Отморожение пальцев руки с некрозом ткани;T34.5;48128
10048068;Отморожение пальцев стопы;T35.5;48129
10048069;Отморожение пальцев стопы поверхностное;T33.8;48130
10048070;Отморожение пальцев стопы с некрозом ткани;T34.8;48131
10048071;Отморожение поверхностное;T33.9;48132
