ID;S_NAME;ICD10;SORT
10000052;Cubitus valgus;M21.0;58
10000053;Cubitus valgus врожденный;Q68.1;59
10000054;Cubitus valgus как отдаленное последствие рахита;E64.3;60
10000055;Cubitus valgus приобретеный;M21.0;61
10000056;Cubitus varus;M21.1;62
10000057;Cubitus varus врожденный;Q68.1;63
10000058;Cubitus varus как отдаленное последствие рахита;E64.3;64
10000059;Cubitus varus приобретенный;M21.1;65
10000060;Cохранение детородной функции;Z31.9;66
10000061;Cохранение детородной функции уточненное;Z31.9;67
10000062;Demodex folliculorum;B88.0;68
10000063;Demodex folliculorum инфестация;B88.0;69
10000064;Dermatitis;L30.9;70
10000065;Dermatitis ab igne;L59.0;71
10000066;Ectodermosis erosiva pluriorificialis;L51.1;72
10000067;Flecks glaucomatous;H26.2;73
10000068;Flecks glaucomatous subcapsular;H26.2;74
10000069;Folie a deux;F24;75
10000070;Genu extrorsum;M21.1;76
10000071;Genu extrorsum врожденное;Q68.2;77
10000072;Genu extrorsum приобретенное;M21.1;78
10000073;Genu extrorsum, отдаленные последствия рахита;E64.3;79
10000074;Genu recurvatum;M21.8;80
10000075;Genu recurvatum врожденное;Q68.2;81
10000076;Genu recurvatum приобретенное;M21.8;82
10000077;Genu recurvatum, отдаленные последствия рахита;E64.3;83
10000078;Genu valgum;M21.0;84
10000079;Genu valgum врожденное;Q74.1;85
10000080;Genu valgum приобретенное;M21.0;86
10000081;Genu valgum, отдаленные последствия рахита;E64.3;87
10000082;Genu varum;M21.1;88
10000083;Genu varum врожденное;Q74.1;89
10000084;Genu varum приобретенное;M21.1;90
10000085;Genu varum, отдаленные последствия рахита;E64.3;91
10000086;Genu рахитичное;E64.3;92
10000087;Genu рахитичное старое;E64.3;93
10000088;Gnathostoma spinigerum гнатостомоз;B83.1;94
10000089;Gnathostoma spinigerum гнатостомоз подвижная опухоль;B83.1;95
10000090;Gnathostoma spinigerum заражение гнатостомоз;B83.1;96
10000091;Gnathostoma spinigerum заражение гнатостомоз подвижная опухоль;B83.1;97
10000092;Gnathostoma spinigerum инвазия гнатостомоз;B83.1;98
10000093;Gnathostoma spinigerum инвазия гнатостомоз подвижная опухоль;B83.1;99
10000094;Gubler-Millard паралич;I67.9;100
10000095;Hallux malleus;M20.4;101
10000096;Hallux malleus приобретенный;M20.4;102
10000097;Hallux rigidus;M20.2;103
10000098;Hallux rigidus врожденный;Q74.2;104
10000099;Hallux rigidus как отдаленное последствие рахита;E64.3;105
10000100;Hallux rigidus приобретенный;M20.2;106
10000101;Hallux valgus;M20.1;107
10000102;Hallux valgus врожденный;Q66.8;108
10000103;Hallux valgus приобретенный;M20.1;109
10000104;Hallux varus;M20.3;110
10000105;Hallux varus врожденный;Q66.3;111
10000106;Hallux varus приобретенный;M20.3;112
10000107;Hallux деформация;M20.3;113
10000108;Hallux деформация приобретенная;M20.3;114
10000109;Haut mal;G40.6;115
10000110;Helicobacter pylori как причина болезней, классифицированных в других рубриках;B98.0;116
10000111;HELLP-синдром;O14.2;117
10000112;Id -реакция;L30.2;118
10000113;Id -реакция вызванная бактериями;L30.2;119
10000114;Larva migrant висцеральная;B83.0;120
10000115;Larva migrant кожная;B76.9;121
10000116;Larva migrant кожная вида Ancylostoina;B76.0;122
10000117;Lepothrix;A48.8;123
10000118;Livedo;R23.1;124
10000119;Livedo annularis;R23.1;125
10000120;Livedo racemosa;R23.1;126
10000121;Livedo reticularis;R23.1;127
10000122;L-образная почка;Q63.8;128
10000123;MALT-лимфома;C88.4;129
10000124;Metatarsus valgus adductus врожденный;Q66.6;130
10000125;Metatarsus valgus врожденный;Q66.6;131
10000126;Metatarsus varus adductus врожденный;Q66.2;132
10000127;Metatarsus varus врожденный;Q66.2;133
10000128;Miller Fisher синдром;G61.0;134
10000129;Mittelschmerz;N94.0;135
10000130;Mola destruens;D39.2;136
10000131;Morbilli;B05.9;137
10000132;Morbus caducus;G40.9;138
10000133;Morbus comitialis;G40.9;139
10000134;Morbus cordis;I51.9;140
10000135;Morbus coxae senilis;M16.9;141
10000136;Morbus coxae senilis туберкулезный;A18.0;142
10000137;Moria;F07.0;143
10000138;Morphoea;L94.0;144
10000139;Mycosis fungoides;C84.0;145
10000140;Ovotestis;Q56.0;146
10000141;Pars planitis;H30.2;147
10000142;Petit mal;G40.7;148
10000143;Petit mal импульсивный;G40.3;149
10000144;Petit mal при status epilepticus;G41.1;150
10000145;Petit mal при припадках grand mal;G40.6;151
10000146;Petit mal при эпилепсии;G40.3;152
10000147;Petit mal при эпилепсии детской;G40.3;153
10000148;Petit mal при эпилепсии идиопатической;G40.3;154
10000149;Petit mal при эпилепсии юношеской;G40.3;155
10000150;Pig-bel;A05.2;156
10000151;Placenta multipartita;O43.1;157
10000152;Pleuro-pneumonia-Iike-organism, как причина болезней, классифицированных в других рубриках;B96.0;158
10000153;Proteus mirabilis как причина болезней, классифицированных в других рубриках;B96.4;159
10000154;Proteus morganii, как причина болезней, классифицированных в других рубриках;B96.4;160
10000155;Proteus как причина болезней, классифицированных в других рубриках;B96.4;161
10000156;Pseudomonas aeruginosa как причина болезней, классифицированных в других рубриках;B96.5;162
10000157;Pseudomonas mallei заражение;A24.0;163
10000158;Pseudomonas mallei инфекция как причина болезней, классифицированных в других рубриках;B96.5;164
10000159;Pseudomonas pseudomallei как причина болезней, классифицированных в других рубриках;B96.5;165
10000160;SALT-лимфома;C90.3;166
10000161;Situs inversus;Q89.3;167
10000162;Situs inversus брюшной полости;Q89.3;168
10000163;Situs inversus грудной полости;Q89.3;169
10000164;Situs transversus;Q89.3;170
10000165;Situs transversus брюшной полости;Q89.3;171
10000166;Situs transversus грудной полости;Q89.3;172
10000167;Spina bifida;Q05.9;173
10000168;Spina bifida aperta;Q05.9;174
10000169;Spina bifida occulta;Q76.0;175
10000170;Spina bifida грудино-поясничная;Q05.6;176
10000171;Spina bifida грудино-поясничная с гидроцефалией;Q05.1;177
10000172;Spina bifida грудная;Q05.6;178
10000173;Spina bifida грудная с гидроцефалией;Q05.4;179
10000174;Spina bifida дорсальная;Q05.6;180
10000175;Spina bifida дорсальная с гидроцефалией;Q05.1;181
10000176;Spina bifida крестцовая;Q05.8;182
10000177;Spina bifida крестцовая с гидроцефалией;Q05.3;183
10000178;Spina bifida поясничная;Q05.7;184
10000179;Spina bifida поясничная с гидроцефалией;Q05.2;185
10000180;Spina bifida пояснично-крестцовая;Q05.7;186
10000181;Spina bifida пояснично-крестцовая с гидроцефалией;Q05.2;187
10000182;Spina bifida с гидроцефалией;Q05.4;188
10000183;Spina bifida у плода предполагаемая, влияние на течение беременности;O35.0;189
10000184;Spina bifida у плода, влияние на течение беременности;O35.0;190
10000185;Spina bifida шейная;Q05.5;191
10000186;Spina bifida шейная с гидроцефалией;Q05.0;192
10000187;TAR синдром;Q87.2;193
10000188;Tibia vara;M92.5;194
10000189;Treacher Collins синдром;Q75.4;195
10000190;VATER синдром;Q87.2;196
10000191;Vibrio vulnificus, как причина болезней, классифицированных в других рубриках;B98.1;197
10000192;Vincent инфекция;A69.1;198
10000193;Weber паралич;I67.9;199
10000194;Weber синдром;I67.9;200
10000195;Wegener гранулематоз;M31.3;201
10000196;Wegener синдром;M31.3;202
10000197;Wernicke болезнь;E51.2;203
10000198;Wernicke синдром;E51.2;204
10000199;Wuchernde Struma Langhans;C73;205
10000202;Абазия;F44.4;206
10000203;Абазия истерическая;F44.4;207
10000204;Абазия-астазия;F44.4;208
10000205;Абдоминалгия;R10.4;209
10000206;Абдоминальное состояние острое;R10.0;210
10000207;Абдоминальный синдром недостаточности мышц живота;Q79.4;211
10000208;Абдоминальный судорожный эквивалент;G40.8;212
10000209;Аберрантная артерия;Q27.8;213
10000210;Аберрантная вена;Q27.8;214
10000211;Аберрантная врожденная артерия;Q27.8;215
10000212;Аберрантная врожденная вена;Q27.8;216
10000213;Аберрантная врожденная вилочковая железа;Q89.2;217
10000214;Аберрантная врожденная молочная железа;Q83.8;218
10000215;Аберрантная врожденная околощитовидная железа;Q89.2;219
10000216;Аберрантная врожденная периферическая артерия;Q27.8;220
10000217;Аберрантная врожденная периферическая вена;Q27.8;221
10000218;Аберрантная врожденная поджелудочная железа;Q45.3;222
10000219;Аберрантная врожденная подключичная артерия;Q27.8;223
10000220;Аберрантная врожденная селезенка;Q89.0;224
10000221;Аберрантная врожденная щитовидная железа;Q89.2;225
10000222;Аберрантная периферическая артерия;Q27.8;226
10000223;Аберрантная периферическая вена;Q27.8;227
10000224;Аберрантный врожденный гипофиз;Q89.2;228
10000225;Аберрантный врожденный желчный проток;Q44.5;229
10000226;Аберрантный врожденный надпочечник;Q89.1;230
10000227;Аберрация психическая;F99;231
10000228;Аберрирующая слизистая оболочка рта;Q38.6;232
10000229;Аберрирующие врожденные слюнные железы;Q38.6;233
10000230;Абеталипопротеинемия;E78.6;234
10000231;Абиотрофия;R68.8;235
10000232;Аблефария;Q10.3;236
10000233;Аблефарон;Q10.3;237
10000234;Абляция матки;Z90.7;238
10000235;Абляция плаценты;O45.9;239
10000236;Абляция плаценты влияющая на новорожденного;P02.1;240
10000237;Абляция плаценты влияющая на плод;P02.1;241
10000238;Абляция сетчатки;H33.2;242
10000239;Аболиция разговорная;R48.8;243
10000240;Аболиция речи;R48.8;244
10000241;Аборт медицинский легальный неполный без осложнений;O04.4;245
10000242;Аборт медицинский легальный неполный, осложнившийся анурией;O04.3;246
10000243;Аборт медицинский легальный неполный, осложнившийся длительным кровотечением;O04.1;247
10000244;Аборт медицинский легальный неполный, осложнившийся инфекцией мочевых путей;O04.3;248
10000245;Аборт медицинский легальный неполный, осложнившийся мочевого пузыря;O04.3;249
10000246;Аборт медицинский легальный неполный, осложнившийся надрывом кишечника;O04.3;250
10000247;Аборт медицинский легальный неполный, осложнившийся надрывом матки;O04.3;251
10000248;Аборт медицинский легальный неполный, осложнившийся надрывом мочевого пузыря;O04.3;252
10000249;Аборт медицинский легальный неполный, осложнившийся надрывом периуретальной ткани;O04.3;253
10000250;Аборт медицинский легальный неполный, осложнившийся надрывом шейки матки;O04.3;254
10000251;Аборт медицинский легальный неполный, осложнившийся надрывом широкой связки матки;O04.3;255
10000252;Аборт медицинский легальный неполный, осложнившийся нарушением водно-солевого баланса;O04.3;256
10000253;Аборт медицинский легальный неполный, осложнившийся олигурией;O04.3;257
10000254;Аборт медицинский легальный неполный, осложнившийся оофоритом;O04.0;258
10000255;Аборт медицинский легальный неполный, осложнившийся остановкой сердца;O04.3;259
10000256;Аборт медицинский легальный неполный, осложнившийся острой почечной недостаточностью;O04.3;260
10000257;Аборт медицинский легальный неполный, осложнившийся параметритом;O04.0;261
10000258;Аборт медицинский легальный неполный, осложнившийся прекращением функции почек;O04.3;262
10000259;Аборт медицинский легальный неполный, осложнившийся прободением кишечника;O04.3;263
10000260;Аборт медицинский легальный неполный, осложнившийся прободением матки;O04.3;264
10000261;Аборт медицинский легальный неполный, осложнившийся прободением мочевого пузыря;O04.3;265
10000262;Аборт медицинский легальный неполный, осложнившийся прободением периуретальной ткани;O04.3;266
10000263;Аборт медицинский легальный неполный, осложнившийся прободением шейки матки;O04.3;267
10000264;Аборт медицинский легальный неполный, осложнившийся прободением широкой связки матки;O04.3;268
10000265;Аборт медицинский легальный неполный, осложнившийся разрывом кишечника;O04.3;269
10000266;Аборт медицинский легальный неполный, осложнившийся разрывом матки;O04.3;270
10000267;Аборт медицинский легальный неполный, осложнившийся разрывом периуретальной ткани;O04.3;271
10000268;Аборт медицинский легальный неполный, осложнившийся разрывом шейки матки;O04.3;272
10000269;Аборт медицинский легальный неполный, осложнившийся разрывом широкой связки матки;O04.3;273
10000270;Аборт медицинский легальный неполный, осложнившийся сальпингитом;O04.0;274
10000271;Аборт медицинский легальный неполный, осложнившийся сальпингоофоритом;O04.0;275
10000272;Аборт медицинский легальный неполный, осложнившийся сепсисом;O04.0;276
10000273;Аборт медицинский легальный неполный, осложнившийся септицемией;O04.0;277
10000274;Аборт медицинский легальный неполный, осложнившийся септическим шоком;O04.0;278
10000275;Аборт медицинский легальный неполный, осложнившийся сосудистым коллапсом;O04.3;279
10000276;Аборт медицинский легальный неполный, осложнившийся тазовым перитонитом;O04.0;280
10000277;Аборт медицинский легальный неполный, осложнившийся тубулярным некрозом;O04.3;281
10000278;Аборт медицинский легальный неполный, осложнившийся уремией;O04.3;282
10000279;Аборт медицинский легальный неполный, осложнившийся химическим повреждением кишечника;O04.3;283
10000280;Аборт медицинский легальный неполный, осложнившийся химическим повреждением матки;O04.3;284
10000281;Аборт медицинский легальный неполный, осложнившийся химическим повреждением мочевого пузыря;O04.3;285
10000282;Аборт медицинский легальный неполный, осложнившийся химическим повреждением периуретальной ткани;O04.3;286
10000283;Аборт медицинский легальный неполный, осложнившийся химическим повреждением шейки матки;O04.3;287
10000284;Аборт медицинский легальный неполный, осложнившийся химическим повреждением широкой связки матки;O04.3;288
10000285;Аборт медицинский легальный неполный, осложнившийся чрезмерным кровотечением;O04.1;289
10000286;Аборт медицинский легальный неполный, осложнившийся шоком;O04.3;290
10000287;Аборт медицинский легальный неполный, осложнившийся эмболией;O04.2;291
10000288;Аборт медицинский легальный неполный, осложнившийся эндометритом;O04.0;292
10000289;Аборт медицинский легальный неполный, с венозными осложнениями;O04.3;293
10000290;Аборт медицинский легальный неуточненный без осложнений;O04.9;294
10000291;Аборт медицинский легальный неуточненный, осложнившийся анурией;O04.8;295
10000292;Аборт медицинский легальный неуточненный, осложнившийся длительным кровотечением;O04.6;296
10000293;Аборт медицинский легальный неуточненный, осложнившийся инфекцией мочевых путей;O04.8;297
10000294;Аборт медицинский легальный неуточненный, осложнившийся мочевого пузыря;O04.8;298
10000295;Аборт медицинский легальный неуточненный, осложнившийся надрывом кишечника;O04.8;299
10000296;Аборт медицинский легальный неуточненный, осложнившийся надрывом матки;O04.8;300
10000297;Аборт медицинский легальный неуточненный, осложнившийся надрывом мочевого пузыря;O04.8;301
10000298;Аборт медицинский легальный неуточненный, осложнившийся надрывом периуретальной ткани;O04.8;302
10000299;Аборт медицинский легальный неуточненный, осложнившийся надрывом шейки матки;O04.8;303
10000300;Аборт медицинский легальный неуточненный, осложнившийся надрывом широкой связки матки;O04.8;304
10000301;Аборт медицинский легальный неуточненный, осложнившийся нарушением водно-солевого баланса;O04.8;305
10000302;Аборт медицинский легальный неуточненный, осложнившийся олигурией;O04.8;306
10000303;Аборт медицинский легальный неуточненный, осложнившийся оофоритом;O04.5;307
10000304;Аборт медицинский легальный неуточненный, осложнившийся остановкой сердца;O04.8;308
10000305;Аборт медицинский легальный неуточненный, осложнившийся острой почечной недостаточностью;O04.8;309
10000306;Аборт медицинский легальный неуточненный, осложнившийся параметритом;O04.5;310
10000307;Аборт медицинский легальный неуточненный, осложнившийся прекращением функции почек;O04.8;311
10000308;Аборт медицинский легальный неуточненный, осложнившийся прободением кишечника;O04.8;312
10000309;Аборт медицинский легальный неуточненный, осложнившийся прободением матки;O04.8;313
10000310;Аборт медицинский легальный неуточненный, осложнившийся прободением мочевого пузыря;O04.8;314
10000311;Аборт медицинский легальный неуточненный, осложнившийся прободением периуретальной ткани;O04.8;315
10000312;Аборт медицинский легальный неуточненный, осложнившийся прободением шейки матки;O04.8;316
10000313;Аборт медицинский легальный неуточненный, осложнившийся прободением широкой связки матки;O04.8;317
10000314;Аборт медицинский легальный неуточненный, осложнившийся разрывом кишечника;O04.8;318
10000315;Аборт медицинский легальный неуточненный, осложнившийся разрывом матки;O04.8;319
10000316;Аборт медицинский легальный неуточненный, осложнившийся разрывом периуретальной ткани;O04.8;320
10000317;Аборт медицинский легальный неуточненный, осложнившийся разрывом шейки матки;O04.8;321
10000318;Аборт медицинский легальный неуточненный, осложнившийся разрывом широкой связки матки;O04.8;322
10000319;Аборт медицинский легальный неуточненный, осложнившийся сальпингитом;O04.5;323
10000320;Аборт медицинский легальный неуточненный, осложнившийся сальпингоофоритом;O04.5;324
10000321;Аборт медицинский легальный неуточненный, осложнившийся сепсисом;O04.5;325
10000322;Аборт медицинский легальный неуточненный, осложнившийся септицемией;O04.5;326
10000323;Аборт медицинский легальный неуточненный, осложнившийся септическим шоком;O04.5;327
10000324;Аборт медицинский легальный неуточненный, осложнившийся сосудистым коллапсом;O04.8;328
10000325;Аборт медицинский легальный неуточненный, осложнившийся тазовым перитонитом;O04.5;329
10000326;Аборт медицинский легальный неуточненный, осложнившийся тубулярным некрозом;O04.8;330
10000327;Аборт медицинский легальный неуточненный, осложнившийся уремией;O04.8;331
10000328;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением кишечника;O04.8;332
10000329;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением матки;O04.8;333
10000330;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением мочевого пузыря;O04.8;334
10000331;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением периуретальной ткани;O04.8;335
10000332;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением шейки матки;O04.8;336
10000333;Аборт медицинский легальный неуточненный, осложнившийся химическим повреждением широкой связки матки;O04.8;337
10000334;Аборт медицинский легальный неуточненный, осложнившийся чрезмерным кровотечением;O04.6;338
10000335;Аборт медицинский легальный неуточненный, осложнившийся шоком;O04.8;339
10000336;Аборт медицинский легальный неуточненный, осложнившийся эмболией;O04.7;340
10000337;Аборт медицинский легальный неуточненный, осложнившийся эндометритом;O04.5;341
10000338;Аборт медицинский легальный неуточненный, с венозными осложнениями;O04.8;342
10000339;Аборт медицинский легальный полный без осложнений;O04.9;343
10000340;Аборт медицинский легальный полный, осложнившийся анурией;O04.8;344
10000341;Аборт медицинский легальный полный, осложнившийся длительным кровотечением;O04.6;345
10000342;Аборт медицинский легальный полный, осложнившийся инфекцией мочевых путей;O04.8;346
10000343;Аборт медицинский легальный полный, осложнившийся мочевого пузыря;O04.8;347
10000344;Аборт медицинский легальный полный, осложнившийся надрывом кишечника;O04.8;348
10000345;Аборт медицинский легальный полный, осложнившийся надрывом матки;O04.8;349
10000346;Аборт медицинский легальный полный, осложнившийся надрывом мочевого пузыря;O04.8;350
10000347;Аборт медицинский легальный полный, осложнившийся надрывом периуретальной ткани;O04.8;351
10000348;Аборт медицинский легальный полный, осложнившийся надрывом шейки матки;O04.8;352
10000349;Аборт медицинский легальный полный, осложнившийся надрывом широкой связки матки;O04.8;353
10000350;Аборт медицинский легальный полный, осложнившийся нарушением водно-солевого баланса;O04.8;354
10000351;Аборт медицинский легальный полный, осложнившийся олигурией;O04.8;355
10000352;Аборт медицинский легальный полный, осложнившийся оофоритом;O04.5;356
10000353;Аборт медицинский легальный полный, осложнившийся остановкой сердца;O04.8;357
10000354;Аборт медицинский легальный полный, осложнившийся острой почечной недостаточностью;O04.8;358
10000355;Аборт медицинский легальный полный, осложнившийся параметритом;O04.5;359
10000356;Аборт медицинский легальный полный, осложнившийся прекращением функции почек;O04.8;360
10000357;Аборт медицинский легальный полный, осложнившийся прободением кишечника;O04.8;361
10000358;Аборт медицинский легальный полный, осложнившийся прободением матки;O04.8;362
10000359;Аборт медицинский легальный полный, осложнившийся прободением мочевого пузыря;O04.8;363
10000360;Аборт медицинский легальный полный, осложнившийся прободением периуретальной ткани;O04.8;364
10000361;Аборт медицинский легальный полный, осложнившийся прободением шейки матки;O04.8;365
10000362;Аборт медицинский легальный полный, осложнившийся прободением широкой связки матки;O04.8;366
10000363;Аборт медицинский легальный полный, осложнившийся разрывом кишечника;O04.8;367
10000364;Аборт медицинский легальный полный, осложнившийся разрывом матки;O04.8;368
10000365;Аборт медицинский легальный полный, осложнившийся разрывом периуретальной ткани;O04.8;369
10000366;Аборт медицинский легальный полный, осложнившийся разрывом шейки матки;O04.8;370
10000367;Аборт медицинский легальный полный, осложнившийся разрывом широкой связки матки;O04.8;371
10000368;Аборт медицинский легальный полный, осложнившийся сальпингитом;O04.5;372
10000369;Аборт медицинский легальный полный, осложнившийся сальпингоофоритом;O04.5;373
10000370;Аборт медицинский легальный полный, осложнившийся сепсисом;O04.5;374
10000371;Аборт медицинский легальный полный, осложнившийся септицемией;O04.5;375
10000372;Аборт медицинский легальный полный, осложнившийся септическим шоком;O04.5;376
10000373;Аборт медицинский легальный полный, осложнившийся сосудистым коллапсом;O04.8;377
10000374;Аборт медицинский легальный полный, осложнившийся тазовым перитонитом;O04.5;378
10000375;Аборт медицинский легальный полный, осложнившийся тубулярным некрозом;O04.8;379
10000376;Аборт медицинский легальный полный, осложнившийся уремией;O04.8;380
10000377;Аборт медицинский легальный полный, осложнившийся химическим повреждением кишечника;O04.8;381
10000378;Аборт медицинский легальный полный, осложнившийся химическим повреждением матки;O04.8;382
10000379;Аборт медицинский легальный полный, осложнившийся химическим повреждением мочевого пузыря;O04.8;383
10000380;Аборт медицинский легальный полный, осложнившийся химическим повреждением периуретальной ткани;O04.8;384
10000381;Аборт медицинский легальный полный, осложнившийся химическим повреждением шейки матки;O04.8;385
10000382;Аборт медицинский легальный полный, осложнившийся химическим повреждением широкой связки матки;O04.8;386
10000383;Аборт медицинский легальный полный, осложнившийся чрезмерным кровотечением;O04.6;387
10000384;Аборт медицинский легальный полный, осложнившийся шоком;O04.8;388
10000385;Аборт медицинский легальный полный, осложнившийся эмболией;O04.7;389
10000386;Аборт медицинский легальный полный, осложнившийся эндометритом;O04.5;390
10000387;Аборт медицинский легальный полный, с венозными осложнениями;O04.8;391
10000388;Аборт медицинский неудачный без осложнений;O07.4;392
10000389;Аборт медицинский неудачный неуточненный, осложнившийся анурией;O07.8;393
10000390;Аборт медицинский неудачный неуточненный, осложнившийся длительным кровотечением;O07.6;394
10000391;Аборт медицинский неудачный неуточненный, осложнившийся длительным кровотечением с афибриногенемией;O07.6;395
10000392;Аборт медицинский неудачный неуточненный, осложнившийся длительным кровотечением с внутрисосудистым свертыванием;O07.6;396
10000393;Аборт медицинский неудачный неуточненный, осложнившийся длительным кровотечением с синдромом дефибринации;O07.6;397
10000394;Аборт медицинский неудачный неуточненный, осложнившийся другими венозными состояниями;O07.8;398
10000395;Аборт медицинский неудачный неуточненный, осложнившийся инфекцией мочевых путей;O07.8;399
10000396;Аборт медицинский неудачный неуточненный, осложнившийся инфекцией половых путей и тазовых органов;O07.5;400
10000397;Аборт медицинский неудачный неуточненный, осложнившийся надрывом кишечника;O07.8;401
10000398;Аборт медицинский неудачный неуточненный, осложнившийся надрывом матки;O07.8;402
10000399;Аборт медицинский неудачный неуточненный, осложнившийся надрывом мочевого пузыря;O07.8;403
10000400;Аборт медицинский неудачный неуточненный, осложнившийся надрывом периуретальной ткани;O07.8;404
10000401;Аборт медицинский неудачный неуточненный, осложнившийся надрывом тазовых органов;O07.8;405
10000402;Аборт медицинский неудачный неуточненный, осложнившийся надрывом шейки матки;O07.8;406
10000403;Аборт медицинский неудачный неуточненный, осложнившийся надрывом широкой связки матки;O07.8;407
10000404;Аборт медицинский неудачный неуточненный, осложнившийся нарушением водно-солевого баланса;O07.8;408
10000405;Аборт медицинский неудачный неуточненный, осложнившийся некрозом почечных канальцев;O07.8;409
10000406;Аборт медицинский неудачный неуточненный, осложнившийся олигурией;O07.8;410
10000407;Аборт медицинский неудачный неуточненный, осложнившийся оофоритом;O07.5;411
10000408;Аборт медицинский неудачный неуточненный, осложнившийся остановкой сердца;O07.8;412
10000409;Аборт медицинский неудачный неуточненный, осложнившийся параметритом;O07.5;413
10000410;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией кишечника;O07.8;414
10000411;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией матки;O07.8;415
10000412;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией мочевого пузыря;O07.8;416
10000413;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией периуретальной ткани;O07.8;417
10000414;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией тазовых органов;O07.8;418
10000415;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией шейки матки;O07.8;419
10000416;Аборт медицинский неудачный неуточненный, осложнившийся перфорацией широкой связки матки;O07.8;420
10000417;Аборт медицинский неудачный неуточненный, осложнившийся почечной недостаточностью;O07.8;421
10000418;Аборт медицинский неудачный неуточненный, осложнившийся прекращением функции почки;O07.8;422
10000419;Аборт медицинский неудачный неуточненный, осложнившийся разрывом кишечника;O07.8;423
10000420;Аборт медицинский неудачный неуточненный, осложнившийся разрывом матки;O07.8;424
10000421;Аборт медицинский неудачный неуточненный, осложнившийся разрывом мочевого пузыря;O07.8;425
10000422;Аборт медицинский неудачный неуточненный, осложнившийся разрывом периуретальной ткани;O07.8;426
10000423;Аборт медицинский неудачный неуточненный, осложнившийся разрывом тазовых органов;O07.8;427
10000424;Аборт медицинский неудачный неуточненный, осложнившийся разрывом шейки матки;O07.8;428
10000425;Аборт медицинский неудачный неуточненный, осложнившийся разрывом широкой связки матки;O07.8;429
