 хромосом амниотической жидкости;R89.8;20571
10020713;Желтуха новорожденного, вызванная лекарственными средствами, полученными новорожденным;P58.4;20726
10020714;Желтуха новорожденного, вызванная муковисцидозом;E84.8;20727
10020715;Желтуха новорожденного, вызванная наследственной гемолитической анемией;P58.8;20728
10020716;Желтуха новорожденного, вызванная недостаточностью ферментных систем для конъюгации билирубина;P59.8;20729
10020717;Желтуха новорожденного, вызванная несовместимостью крови матери и плода;P55.1;20730
10020718;Желтуха новорожденного, вызванная отсутствием ферментных систем для конъюгации билирубина;P59.8;20731
10020719;Желтуха новорожденного, вызванная полицитемией;P58.3;20732
10020720;Желтуха новорожденного, вызванная преждевременным родоразрешением;P59.0;20733
10020721;Желтуха новорожденного, вызванная резус-антителами;P55.0;20734
10020722;Желтуха новорожденного, вызванная резус-изоиммунизацией;P55.0;20735
10020723;Желтуха новорожденного, вызванная резус-несовместимостью крови матери и плода;P55.0;20736
10020724;Желтуха новорожденного, вызванная синдромом Жильбера;E80.4;20737
10020725;Желтуха новорожденного, вызванная синдромом сгущения желчи;P59.1;20738
10020726;Желтуха новорожденного, вызванная токсинами, перешедшими из организма матери;P58.4;20739
10020727;Желтуха новорожденного, вызванная токсинами, полученными новорожденным;P58.4;20740
10020728;Желтуха новорожденного, вызванная уточненной причиной;P59.8;20741
10020729;Желтуха новорожденного, вызванная чрезмерным гемолизом;P58.9;20742
10020730;Желтуха новорожденного, вызванная чрезмерным гемолизом уточненного типа;P58.8;20743
10020731;Желтуха новорожденного, связанная с AB0 антителами;P55.1;20744
10020732;Желтуха новорожденного, связанная с AB0 изоиммунизацией;P55.1;20745
10020733;Желтуха новорожденного, связанная с AB0 несовместимостью крови матери и плода;P55.1;20746
10020734;Желтуха новорожденного, связанная с Rh несовместимостью крови матери и плода;P55.0;20747
10020735;Желтуха новорожденного, связанная с Rh-антителами;P55.0;20748
10020736;Желтуха новорожденного, связанная с Rh-изоиммунизацией;P55.0;20749
10020737;Желтуха новорожденного, связанная с врожденной недостаточностью ферментных систем для конъюгации билирубина;P59.8;20750
10020738;Желтуха новорожденного, связанная с врожденным гипотиреозом;E03.1;20751
10020739;Желтуха новорожденного, связанная с врожденным отсутствием ферментных систем для конъюгации билирубина;P59.8;20752
10020740;Желтуха новорожденного, связанная с галактоземией;E74.2;20753
10020741;Желтуха новорожденного, связанная с гепатоцеллюлярным нарушением;P59.2;20754
10020742;Желтуха новорожденного, связанная с заглатыванием материнской крови;P58.5;20755
10020743;Желтуха новорожденного, связанная с замедленной конъюгацией;P59.8;20756
10020744;Желтуха новорожденного, связанная с изоиммунизацией;P55.9;20757
10020745;Желтуха новорожденного, связанная с ингибиторами лактации, замедляющими конъюгацию билирубина;P59.3;20758
10020746;Желтуха новорожденного, связанная с кровоподтеками;P58.0;20759
10020747;Желтуха новорожденного, связанная с кровотечением;P58.1;20760
10020748;Желтуха новорожденного, связанная с лекарственными средствами, перешедшими из организма матери;P58.4;20761
10020749;Желтуха новорожденного, связанная с лекарственными средствами, полученными новорожденным;P58.4;20762
10020750;Желтуха новорожденного, связанная с муковисцидозом;E84.8;20763
10020751;Желтуха новорожденного, связанная с наследственной гемолитической анемией;P58.8;20764
10020752;Желтуха новорожденного, связанная с недостаточностью ферментных систем для конъюгации билирубина;P59.8;20765
10020753;Желтуха новорожденного, связанная с несовместимостью крови матери и плода;P55.9;20766
10020754;Желтуха новорожденного, связанная с отсутствием ферментных систем для конъюгации билирубина;P59.8;20767
10020755;Желтуха новорожденного, связанная с полицитемией;P58.3;20768
10020756;Желтуха новорожденного, связанная с преждевременным родоразрешением;P59.0;20769
10020757;Желтуха новорожденного, связанная с резус несовместимостью крови матери и плода;P55.0;20770
10020758;Желтуха новорожденного, связанная с резус-антителами;P55.0;20771
10020759;Желтуха новорожденного, связанная с резус-изоиммунизацией;P55.0;20772
10020760;Желтуха новорожденного, связанная с синдромом Жильбера;E80.4;20773
10020761;Желтуха новорожденного, связанная с синдромом Криглера-Найяра;E80.5;20774
10020762;Желтуха новорожденного, связанная с синдромом сгущения желчи;P59.1;20775
10020763;Желтуха новорожденного, связанная с токсинами, перешедшими из организма матери;P58.4;20776
10020764;Желтуха новорожденного, связанная с токсинами, полученными новорожденным;P58.4;20777
10020765;Желтуха новорожденного, связанная с уточненной причиной;P59.8;20778
10020766;Желтуха новорожденного, связанная с чрезмерным гемолизом;P58.9;20779
10020767;Желтуха новорожденного, связанная с чрезмерным гемолизом уточненного типа;P58.8;20780
10020768;Желтуха новорожденного, синдромом вызванная Криглера-Найяра;E80.5;20781
10020769;Желтуха от грудного молока;P59.3;20782
10020770;Желтуха плода;P59.9;20783
10020771;Желтуха плода инфекционная;P58.2;20784
10020772;Желтуха плода физиологическая;P59.9;20785
10020773;Желтуха плода, вызванная ABO антителами;P55.1;20786
10020774;Желтуха плода, вызванная ABO изоиммунизацией;P55.1;20787
10020775;Желтуха плода, вызванная Rh-антителами;P55.0;20788
10020776;Желтуха плода, вызванная Rh-изоиммунизацией;P55.0;20789
10020777;Желтуха плода, вызванная Rh-несовместимостью крови матери и плода;P55.0;20790
10020778;Желтуха плода, вызванная врожденной недостаточностью ферментных систем для конъюгации билирубина;P59.8;20791
10020779;Желтуха плода, вызванная врожденным отсутствием ферментных систем для конъюгации билирубина;P59.8;20792
10020780;Желтуха плода, вызванная галактоземией;E74.2;20793
10020781;Желтуха плода, вызванная гепатоцеллюлярным нарушением;P59.2;20794
10020782;Желтуха плода, вызванная гипотиреозом врожденным;E03.1;20795
10020783;Желтуха плода, вызванная заглатыванием материнской крови;P58.5;20796
10020784;Желтуха плода, вызванная замедленной конъюгацией;P59.8;20797
10020785;Желтуха плода, вызванная замедленной конъюгацией, связанной с преждевременным родоразрешением;P59.0;20798
10020786;Желтуха плода, вызванная изоиммунизацией;P55.9;20799
10020787;Желтуха плода, вызванная ингибиторами лактации, замедляющими конъюгацию билирубина;P59.3;20800
10020788;Желтуха плода, вызванная кровоподтеками;P58.0;20801
10020789;Желтуха плода, вызванная кровотечением;P58.1;20802
10020790;Желтуха плода, вызванная лекарственными средствами, перешедшими из организма матери;P58.4;20803
10020791;Желтуха плода, вызванная лекарственными средствами, полученными новорожденным;P58.4;20804
10020792;Желтуха плода, вызванная муковисцидозом;E84.8;20805
10020793;Желтуха плода, вызванная наследственной гемолитической анемией;P58.8;20806
10020794;Желтуха плода, вызванная недостаточностью ферментных систем для конъюгации билирубина;P59.8;20807
10020795;Желтуха плода, вызванная несовместимостью крови матери и плода;P55.1;20808
10020796;Желтуха плода, вызванная отсутствием ферментных систем для конъюгации билирубина;P59.8;20809
10020797;Желтуха плода, вызванная полицитемией;P58.3;20810
10020798;Желтуха плода, вызванная преждевременным родоразрешением;P59.0;20811
10020799;Желтуха плода, вызванная резус-антителами;P55.0;20812
10020800;Желтуха плода, вызванная резус-изоиммунизацией;P55.0;20813
10020801;Желтуха плода, вызванная резус-несовместимостью крови матери и плода;P55.0;20814
10020802;Желтуха плода, вызванная синдромом Жильбера;E80.4;20815
10020803;Желтуха плода, вызванная синдромом Криглера-Найяра;E80.5;20816
10020804;Желтуха плода, вызванная синдромом сгущения желчи;P59.1;20817
10020805;Желтуха плода, вызванная токсинами, перешедшими из организма матери;P58.4;20818
10020806;Желтуха плода, вызванная токсинами, полученными новорожденным;P58.4;20819
10020807;Желтуха плода, вызванная уточненной причиной;P59.8;20820
10020808;Желтуха плода, вызванная чрезмерным гемолизом;P58.9;20821
10020809;Желтуха плода, вызванная чрезмерным гемолизом уточненного типа;P58.8;20822
10020810;Желтуха плода, связанная с AB0 антителами;P55.1;20823
10020811;Желтуха плода, связанная с AB0 изоиммунизацией;P55.1;20824
10020812;Желтуха плода, связанная с AB0 несовместимостью крови матери и плода;P55.1;20825
10020813;Желтуха плода, связанная с Rh несовместимостью крови матери и плода;P55.0;20826
10020814;Желтуха плода, связанная с Rh-антителами;P55.0;20827
10020815;Желтуха плода, связанная с Rh-изоиммунизацией;P55.0;20828
10020816;Желтуха плода, связанная с врожденной недостаточностью ферментных систем для конъюгации билирубина;P59.8;20829
10020817;Желтуха плода, связанная с врожденным гипотиреозом;E03.1;20830
10020818;Желтуха плода, связанная с врожденным отсутствием ферментных систем для конъюгации билирубина;P59.8;20831
10020819;Желтуха плода, связанная с галактоземией;E74.2;20832
10020820;Желтуха плода, связанная с гепатоцеллюлярным нарушением;P59.2;20833
10020821;Желтуха плода, связанная с заглатыванием материнской крови;P58.5;20834
10020822;Желтуха плода, связанная с замедленной конъюгацией;P59.8;20835
10020823;Желтуха плода, связанная с изоиммунизацией;P55.9;20836
10020824;Желтуха плода, связанная с ингибиторами лактации, замедляющими конъюгацию билирубина;P59.3;20837
10020825;Желтуха плода, связанная с кровоподтеками;P58.0;20838
10020826;Желтуха плода, связанная с кровотечением;P58.1;20839
10020827;Желтуха плода, связанная с лекарственными средствами, перешедшими из организма матери;P58.4;20840
10020828;Желтуха плода, связанная с лекарственными средствами, полученными новорожденным;P58.4;20841
10020829;Желтуха плода, связанная с муковисцидозом;E84.8;20842
10020830;Желтуха плода, связанная с наследственной гемолитической анемией;P58.8;20843
10020831;Желтуха плода, связанная с недостаточностью ферментных систем для конъюгации билирубина;P59.8;20844
10020832;Желтуха плода, связанная с несовместимостью крови матери и плода;P55.9;20845
10020833;Желтуха плода, связанная с отсутствием ферментных систем для конъюгации билирубина;P59.8;20846
10020834;Желтуха плода, связанная с полицитемией;P58.3;20847
10020835;Желтуха плода, связанная с преждевременным родоразрешением;P59.0;20848
10020836;Желтуха плода, связанная с резус несовместимостью крови матери и плода;P55.0;20849
10020837;Желтуха плода, связанная с резус-антителами;P55.0;20850
10020838;Желтуха плода, связанная с резус-изоиммунизацией;P55.0;20851
10020839;Желтуха плода, связанная с синдромом Жильбера;E80.4;20852
10020840;Желтуха плода, связанная с синдромом Криглера-Найяра;E80.5;20853
10020841;Желтуха плода, связанная с синдромом сгущения желчи;P59.1;20854
10020842;Желтуха плода, связанная с токсинами, перешедшими из организма матери;P58.4;20855
10020843;Желтуха плода, связанная с токсинами, полученными новорожденным;P58.4;20856
10020844;Желтуха плода, связанная с уточненной причиной;P59.8;20857
10020845;Желтуха плода, связанная с чрезмерным гемолизом;P58.9;20858
10020846;Желтуха плода, связанная с чрезмерным гемолизом уточненного типа;P58.8;20859
10020847;Желтуха семейная негемолитическая;E80.4;20860
10020848;Желтуха семейная негемолитическая врожденная;E80.5;20861
10020849;Желтуха семейная негемолитическая Жильбера;E80.4;20862
10020850;Желтуха семейная регургитационная;K83.1;20863
10020851;Желтуха ядерная новорожденных;P57.9;20864
10020852;Желтуха, вызванная спирохетами;A27.0;20865
10020853;Желтуха, связанная с преждевременным родоразрешением;P59.0;20866
10020854;Желтуха, связанная с родами при замедленной конъюгации билирубина;P59.0;20867
10020855;Желтушно-геморрагический лептоспироз;A27.0;20868
10020856;Желудочковая инверсия;Q20.5;20869
10020857;Желудочковая тахикардия;I49.3;20870
10020858;Желчнокаменная болезнь;K80.2;20871
10020859;Желчные камени множественные;K80.2;20872
10020860;Желчный камень;K80.2;20873
10020861;Желчный камень желчного протока;K80.5;20874
10020862;Желчный камень желчного пузыря;K80.2;20875
10020863;Желчный камень общего желчного протока;K80.5;20876
10020864;Желчный камень печеночного желчного протока;K80.5;20877
10020865;Желчный камень пузырного протока;K80.2;20878
10020866;Желчный камень с острым холециститом;K80.0;20879
10020867;Желчный камень с холециститом;K80.1;20880
10020868;Желчный камень с хроническим холециститом;K80.1;20881
10020869;Желчный камень уточненный;K80.8;20882
10020870;Желчный камень, вызывающий кишечную непроходимость;K56.3;20883
10020871;Желчный камень, вызывающий колику;K80.2;20884
10020872;Желчный камень, закрывающий просвет;K80.2;20885
10020873;Жемчужина Эпштейна;K09.8;20886
10020874;Жемчужины эмалевые;K00.2;20887
10020875;Жертва бедствия;Z65.5;20888
10020876;Жертва войны;Z65.5;20889
10020877;Жертва ощущаемого гонения;Z60.5;20890
10020878;Жертва ощущаемой дискриминации;Z60.5;20891
10020879;Жертва преступления;Z65.4;20892
10020880;Жертва пыток;Z65.4;20893
10020881;Жертва терроризма;Z65.4;20894
10020882;Жестокое обращение в анамнезе;Z91.8;20895
10020883;Жестокое обращение с ребенком;T74.9;20896
10020884;Жестокое обращение с ребенком последствия;T74.9;20897
10020885;Жестокое обращение с ребенком эмоциональное;T74.9;20898
10020886;Жестокое обращение с ребенком, недостаток пищи;T74.9;20899
10020887;Жестокое обращение со взрослым;T74.9;20900
10020888;Жестокое обращение со взрослым последствия;T74.9;20901
10020889;Жжение подошв ног;E53.9;20902
10020890;Жжение языка;K14.6;20903
10020891;Жжения ощущение;R20.8;20904
10020892;Жжения чувство;R20.8;20905
10020893;Жиардиаз;A07.1;20906
10020894;Жибера болезнь;L42;20907
10020895;Жибера питириаз;L42;20908
10020896;Живот острый;R10.0;20909
10020897;Живота судорожный эквивалент;G40.8;20910
10020898;Жидкости потеря;E86;20911
10020899;Жидкости потеря острая;E86;20912
10020900;Жидкость в брюшной полости;R18;20913
10020901;Жидкость в грудной полости;J94.8;20914
10020902;Жидкость в животе;R18;20915
10020903;Жидкость в плевральной полости;J94.8;20916
10020904;Жидкость в сердце;I50.0;20917
10020905;Жидкость в суставе;M25.4;20918
10020906;Жизнеспособности недостаточность;R53;20919
10020907;Жизнеспособности недостаточность новорожденного;P96.8;20920
10020908;Жизнеспособности потеря;R53;20921
10020909;Жизнеспособности потеря новорожденным;P96.8;20922
10020910;Жильберта болезнь;E80.4;20923
10020911;Жильберта синдром;E80.4;20924
10020912;Жиля де ля Туретта болезнь;F95.2;20925
10020913;Жиля де ля Туретта синдром;F95.2;20926
10020914;Жир в кале;R19.5;20927
10020915;Жировая алкогольная дегенерация печени;K70.0;20928
10020916;Жировая дегенерация печени;K76.0;20929
10020917;Жировая дегенерация сердца;I51.5;20930
10020918;Жировая дегенерация сердца расширяющаяся;I51.5;20931
10020919;Жировая подушечка;E65;20932
10020920;Жировик;L72.1;20933
10020921;"Жировой ""фартук""";E65;20934
10020922;Жировые подушки;E65;20935
10020923;Жировые подушки колена;M79.4;20936
10020924;Жнеца легкое;J67.0;20937
10020925;Жокейский зуд;B35.6;20938
10020926;Заболевание;R69;20939
10020927;Заболевание недиагностированное;R69;20940
10020928;Заболевание неуточненное;R69;20941
10020929;Заброшенность;T74.0;20942
10020930;Заброшенность новорожденного;T74.0;20943
10020931;Заброшенность по отношению к себе;R46.8;20944
10020932;Заброшенность эмоциональная в детстве;Z62.4;20945
10020933;Зависимая личность;F60.7;20946
10020934;Зависимая личность с устойчивой слабостью реакций;F60.7;20947
10020935;Зависимая личность со слабостью реакций;F60.7;20948
10020936;Зависимая пассивная личность;F60.7;20949
10020937;Зависимость вследствие нюханья клея;F18.2;20950
10020938;Зависимость вследствие привыкания к авиационному клею;F18.2;20951
10020939;Зависимость вследствие привыкания к алкалоидам опия;F11.2;20952
10020940;Зависимость вследствие привыкания к алкоголю;F10.2;20953
10020941;Зависимость вследствие привыкания к алкоголю, детоксикационная терапия;Z50.2;20954
10020942;Зависимость вследствие привыкания к алкоголю, консультирование и наблюдение;Z71.4;20955
10020943;Зависимость вследствие привыкания к алкоголю, реабилитационные мероприятия;Z50.2;20956
10020944;Зависимость вследствие привыкания к амиталу;F13.2;20957
10020945;Зависимость вследствие привыкания к амиталу натрия;F13.2;20958
10020946;Зависимость вследствие привыкания к амобарбиталу;F13.2;20959
10020947;Зависимость вследствие привыкания к амфетаминам;F15.2;20960
10020948;Зависимость вследствие привыкания к амфетамину;F15.2;20961
10020949;Зависимость вследствие привыкания к анксиолитическим средствам;F13.2;20962
10020950;Зависимость вследствие привыкания к барбиталам;F13.2;20963
10020951;Зависимость вследствие привыкания к барбиталу;F13.2;20964
10020952;Зависимость вследствие привыкания к барбитуратам;F13.2;20965
10020953;Зависимость вследствие привыкания к барбитурату;F13.2;20966
10020954;Зависимость вследствие привыкания к бетаину хлорала;F13.2;20967
10020955;Зависимость вследствие привыкания к бромидам;F13.2;20968
10020956;Зависимость вследствие привыкания к бромиду;F13.2;20969
10020957;Зависимость вследствие привыкания к веществу;F19.2;20970
10020958;Зависимость вследствие привыкания к галлюциногенам;F16.2;20971
10020959;Зависимость вследствие привыкания к гандже;F12.2;20972
10020960;Зависимость вследствие привыкания к гашишу;F12.2;20973
10020961;Зависимость вследствие привыкания к героину;F11.2;20974
10020962;Зависимость вследствие привыкания к гидрату хлорала;F13.2;20975
10020963;Зависимость вследствие привыкания к глюгетимиду;F13.2;20976
10020964;Зависимость вследствие привыкания к даггау;F12.2;20977
10020965;Зависимость вследствие привыкания к дексамфетаминам;F15.2;20978
10020966;Зависимость вследствие привыкания к дексамфетамину;F15.2;20979
10020967;Зависимость вследствие привыкания к декстрометорфану;F11.2;20980
10020968;Зависимость вследствие привыкания к декстроморамиду;F11.2;20981
10020969;Зависимость вследствие привыкания к декстрорфану;F11.2;20982
10020970;Зависимость вследствие привыкания к диазепаму;F13.2;20983
10020971;Зависимость вследствие привыкания к диэтиламиду D-лизергиновой кислоте;F16.2;20984
10020972;Зависимость вследствие привыкания к индийской конопле;F12.2;20985
10020973;Зависимость вследствие привыкания к камеди;F12.2;20986
10020974;Зависимость вследствие привыкания к каннабису;F12.2;20987
