зяином квартиры;Z59.2;59528
10059559;Проблема разногласий с родителями мужа;Z63.1;59627
10059560;Проблема разногласий с родственниками жены;Z63.1;59628
10059561;Проблема разногласий с родственниками мужа;Z63.1;59629
10059562;Проблема разногласий с семьей;Z63.8;59630
10059563;Проблема разногласий с советником;Z64.4;59631
10059564;Проблема разногласий с соседями;Z59.2;59632
10059565;Проблема разногласий с сослуживцами;Z56.4;59633
10059566;Проблема разногласий с соучениками;Z55.4;59634
10059567;Проблема разногласий с социальным работником;Z64.4;59635
10059568;Проблема разногласий с супругом;Z63.0;59636
10059569;Проблема разногласий с товарищами по работе;Z56.4;59637
10059570;Проблема разногласий с учителями;Z55.4;59638
10059571;Проблема разногласий с хозяином;Z59.2;59639
10059572;Проблема разногласий с хозяином дома;Z59.2;59640
10059573;Проблема разногласий с хозяином квартиры;Z59.2;59641
10059574;Проблема разногласий с членами семьи;Z63.8;59642
10059575;Проблема разногласий с членами семьи уточненная;Z63.9;59643
10059576;Проблема расовой дискриминации;Z60.5;59644
10059577;Проблема расстройства идентификации;F93.8;59645
10059578;Проблема расстройства идентификации в детском возрасте;F93.8;59646
10059579;Проблема расстройства личности;F61;59647
10059580;Проблема расстройства поведения;F69;59648
10059581;Проблема расстройства поведения у взрослого;F69;59649
10059582;Проблема расстройства речи;F80.9;59650
10059583;Проблема расстройства эмоциональным в детстве;F93.8;59651
10059584;Проблема религиозной дискриминации;Z60.5;59652
10059585;Проблема рискованного сексуального поведения;Z72.5;59653
10059586;Проблема сексуального насилия со стороны не члена семьи в детстве;Z61.5;59654
10059587;Проблема сексуального насилия со стороны члена семьи в детстве;Z61.4;59655
10059588;Проблема сексуального насилия, якобы имевшее место со стороны не члена семьи в детстве;Z61.5;59656
10059589;Проблема сексуального насилия, якобы имевшее место со стороны члена семьи в детстве;Z61.4;59657
10059590;Проблема семьи;Z63.9;59658
10059591;Проблема склонности к азартным играм и пари;Z72.6;59659
10059592;Проблема со зрением;H54.7;59660
10059593;Проблема социального окружения;Z60.9;59661
10059594;Проблема социального окружения уточненная;Z60.8;59662
10059595;Проблема социальной изоляции и остракизма;Z60.4;59663
10059596;Проблема терапевтической помощи в семье;Z63.6;59664
10059597;Проблема терапевтической помощи уточненная;Z75.8;59665
10059598;Проблема трудностей принятия другой культуры;Z60.3;59666
10059599;Проблема тюремного заключения;Z65.1;59667
10059600;Проблема тяжелых условий труда;Z56.5;59668
10059601;Проблема угрозы лишиться работы;Z56.2;59669
10059602;Проблема употребления алкоголя;Z72.1;59670
10059603;Проблема употребления наркотиков;Z72.2;59671
10059604;Проблема усыновления ребенка;Z63.8;59672
10059605;Проблема уточненная;Z72.8;59673
10059606;Проблема уточненная, связанная с экономическими обстоятельствами;Z59.8;59674
10059607;Проблема утраты любимого родственника в детстве;Z61.0;59675
10059608;Проблема утраты самоуважения в детстве;Z61.3;59676
10059609;Проблема физического насилия в детстве;Z61.6;59677
10059610;Проблема физического насилия, якобы имевшего место в детстве;Z61.6;59678
10059611;Проблема финансовая;Z59.9;59679
10059612;Проблема финансовая уточненная;Z59.8;59680
10059613;Проблема экономическая;Z59.9;59681
10059614;Проблема экономическая уточненная;Z59.8;59682
10059615;Проблема экономическая, связанная с конфликтом с социальным работником;Z64.4;59683
10059616;Проблема этнической дискриминации;Z60.5;59684
10059617;Проблема, связанная с адаптацией к изменению образа жизни;Z60.0;59685
10059618;Проблема, связанная с алкоголизмом в семье;Z63.7;59686
10059619;Проблема, связанная с банкротством;Z59.8;59687
10059620;Проблема, связанная с взаимоотношениями родителя и ребенка;Z61.9;59688
10059621;Проблема, связанная с вкусовыми ощущениями;R43.8;59689
10059622;Проблема, связанная с внутрисемейным общением;Z63.8;59690
10059623;Проблема, связанная с воспитанием ребенка;Z62.9;59691
10059624;Проблема, связанная с воспитанием ребенка уточненная;Z62.8;59692
10059625;Проблема, связанная с воспитанником;Z63.8;59693
10059626;Проблема, связанная с вредными привычками при приеме пищи;Z72.4;59694
10059627;Проблема, связанная с выбором профессии;Z56.7;59695
10059628;Проблема, связанная с выбором работы;Z56.7;59696
10059629;Проблема, связанная с гениталиями у женщин;N94.9;59697
10059630;Проблема, связанная с гениталиями у мужчин;N50.9;59698
10059631;Проблема, связанная с глазами;H57.9;59699
10059632;Проблема, связанная с глазом;H57.9;59700
10059633;Проблема, связанная с глотанием;R13;59701
10059634;Проблема, связанная с грамотностью;Z55.9;59702
10059635;Проблема, связанная с грамотностью уточненная;Z55.8;59703
10059636;Проблема, связанная с графиком работы;Z56.3;59704
10059637;Проблема, связанная с графиком работы вызывающим стресс;Z56.3;59705
10059638;Проблема, связанная с группой первичной поддержки;Z63.9;59706
10059639;Проблема, связанная с группой первичной поддержки уточненная;Z63.8;59707
10059640;Проблема, связанная с другими видами ухода за больным;Z75.9;59708
10059641;Проблема, связанная с жалобами, вызванными страхом болезни;Z71.1;59709
10059642;Проблема, связанная с жалобами, вызванными страхом болезни при отсутствии диагностированной болезни;Z71.1;59710
10059643;Проблема, связанная с жеванием;K08.8;59711
10059644;Проблема, связанная с жизненными трудностями;Z73.9;59712
10059645;Проблема, связанная с жизненными трудностями уточненная;Z73.8;59713
10059646;Проблема, связанная с жилищными условиями;Z59.9;59714
10059647;Проблема, связанная с изменением семейных взаимоотношений родственников в детстве;Z61.2;59715
10059648;Проблема, связанная с изолированностью;Z59.8;59716
10059649;Проблема, связанная с конфликтом с должностным лицом, надзирающим за испытуемым;Z64.4;59717
10059650;Проблема, связанная с конфликтом с начальником;Z56.4;59718
10059651;Проблема, связанная с конфликтом с официальным поручителем;Z64.4;59719
10059652;Проблема, связанная с конфликтом с партнером;Z63.0;59720
10059653;Проблема, связанная с конфликтом с попечителем;Z64.4;59721
10059654;Проблема, связанная с конфликтом с поручителем;Z64.4;59722
10059655;Проблема, связанная с конфликтом с постояльцами;Z59.2;59723
10059656;Проблема, связанная с конфликтом с работодателем;Z56.4;59724
10059657;Проблема, связанная с конфликтом с родителями жены;Z63.1;59725
10059658;Проблема, связанная с конфликтом с родителями мужа;Z63.1;59726
10059659;Проблема, связанная с конфликтом с родственниками жены;Z63.1;59727
10059660;Проблема, связанная с конфликтом с родственниками мужа;Z63.1;59728
10059661;Проблема, связанная с конфликтом с семьей;Z63.8;59729
10059662;Проблема, связанная с конфликтом с советником;Z64.4;59730
10059663;Проблема, связанная с конфликтом с соседями;Z59.2;59731
10059664;Проблема, связанная с конфликтом с сослуживцами;Z56.4;59732
10059665;Проблема, связанная с конфликтом с соучениками;Z55.4;59733
10059666;Проблема, связанная с конфликтом с социальным работником;Z64.4;59734
10059667;Проблема, связанная с конфликтом с супругом;Z63.0;59735
10059668;Проблема, связанная с конфликтом с товарищами по работе;Z56.4;59736
10059669;Проблема, связанная с конфликтом с учителями;Z55.4;59737
10059670;Проблема, связанная с конфликтом с хозяином;Z59.2;59738
10059671;Проблема, связанная с конфликтом с хозяином дома;Z59.2;59739
10059672;Проблема, связанная с конфликтом с хозяином квартиры;Z59.2;59740
10059673;Проблема, связанная с конфликтом с членами семьи;Z63.8;59741
10059674;Проблема, связанная с конфликтом с членами семьи уточненная;Z63.9;59742
10059675;Проблема, связанная с кормлением;R63.3;59743
10059676;Проблема, связанная с кормлением новорожденного;P92.9;59744
10059677;Проблема, связанная с кормлением новорожденного грудью;P92.5;59745
10059678;Проблема, связанная с кормлением новорожденного уточненная;P92.8;59746
10059679;Проблема, связанная с кормлением новорожденного, медленное вялое сосание;P92.2;59747
10059680;Проблема, связанная с кормлением новорожденного, медленное сосание;P92.2;59748
10059681;Проблема, связанная с кормлением новорожденного, недокармливание;P92.3;59749
10059682;Проблема, связанная с кормлением новорожденного, перекармливание;P92.4;59750
10059683;Проблема, связанная с кредиторами;Z59.8;59751
10059684;Проблема, связанная с курением табака;Z72.0;59752
10059685;Проблема, связанная с медицинскими учреждениями;Z75.9;59753
10059686;Проблема, связанная с медицинскими учреждениями уточненная;Z75.8;59754
10059687;Проблема, связанная с медицинской помощью в семье;Z63.6;59755
10059688;Проблема, связанная с медицинской помощью уточненная;Z75.8;59756
10059689;Проблема, связанная с многодетностью;Z64.1;59757
10059690;Проблема, связанная с нарушением процесса развития;F81.9;59758
10059691;Проблема, связанная с нарушенной способностью передвигаться;Z74.0;59759
10059692;Проблема, связанная с нарушенной способностью передвигаться, требующая оказания помощи;Z74.0;59760
10059693;Проблема, связанная с насилием по отношению к ребенку;Z61.6;59761
10059694;Проблема, связанная с неадекватным обучением;Z55.8;59762
10059695;Проблема, связанная с неблагоприятными жизненными событиями в детстве;Z61.9;59763
10059696;Проблема, связанная с неграмотностью;Z55.0;59764
10059697;Проблема, связанная с нежелательной беременностью;Z64.0;59765
10059698;Проблема, связанная с неприемлемым давлением со стороны родителей;Z62.6;59766
10059699;Проблема, связанная с несоблюдением личной гигиены;Z91.2;59767
10059700;Проблема, связанная с неспособностью к обучению;F81.9;59768
10059701;Проблема, связанная с нетипичными ситуациями между родителями и детьми;Z60.1;59769
10059702;Проблема, связанная с неудобным графиком работы;Z56.3;59770
10059703;Проблема, связанная с неудовлетворенностью работой;Z56.7;59771
10059704;Проблема, связанная с неудовлетворенностью школьной обстановкой;Z55.4;59772
10059705;Проблема, связанная с неудовлетворительными жилищными условиями;Z59.9;59773
10059706;Проблема, связанная с неуспеваемостью в школе;Z55.3;59774
10059707;Проблема, связанная с низким уровнем грамотности;Z55.0;59775
10059708;Проблема, связанная с обонянием;R43.8;59776
10059709;Проблема, связанная с образованием;Z55.9;59777
10059710;Проблема, связанная с образованием уточненная;Z55.8;59778
10059711;Проблема, связанная с образом жизни;Z72.9;59779
10059712;Проблема, связанная с обучением;Z55.9;59780
10059713;Проблема, связанная с обучением уточненная;Z55.8;59781
10059714;Проблема, связанная с ограниченностью жилой площади;Z59.1;59782
10059715;Проблема, связанная с одиночеством;Z60.2;59783
10059716;Проблема, связанная с освобождением из тюрьмы;Z65.2;59784
10059717;Проблема, связанная с отклонением в состоянии плода, требующим предоставления медицинской помощи матери;O36.9;59785
10059718;Проблема, связанная с отлучением от дома в детстве;Z61.1;59786
10059719;Проблема, связанная с отлучением от дома, влияние на ребенка;Z61.1;59787
10059720;Проблема, связанная с отсутствием жилища;Z59.0;59788
10059721;Проблема, связанная с отсутствием работы;Z56.0;59789
10059722;Проблема, связанная с официальным попечителем;Z64.4;59790
10059723;Проблема, связанная с пережитым испугом в детстве;Z61.7;59791
10059724;Проблема, связанная с переходом в новый возрастной период;Z60.0;59792
10059725;Проблема, связанная с пищеварением;K92.9;59793
10059726;Проблема, связанная с плохим лечением;Z91.8;59794
10059727;Проблема, связанная с плохим преподаванием;Z55.8;59795
10059728;Проблема, связанная с поведением, сопряженное с самоповреждением;Z72.8;59796
10059729;Проблема, связанная с поиском и принятием известных вредных и опасных алиментарных вмешательств;Z64.2;59797
10059730;Проблема, связанная с поиском и принятием известных вредных и опасных поведенческих воздействий;Z64.3;59798
10059731;Проблема, связанная с поиском и принятием известных вредных и опасных психологических воздействий;Z64.3;59799
10059732;Проблема, связанная с поиском и принятием известных вредных и опасных физических вмешательств;Z64.2;59800
10059733;Проблема, связанная с поиском и принятием известных вредных и опасных химических вмешательств;Z64.2;59801
10059734;Проблема, связанная с политической дискриминацией;Z60.5;59802
10059735;Проблема, связанная с половой дискриминацией;Z60.5;59803
10059736;Проблема, связанная с половой функцией;F52.9;59804
10059737;Проблема, связанная с половой функцией неорганическая;F52.9;59805
10059738;Проблема, связанная с получения алиментов на ребенка;Z65.3;59806
10059739;Проблема, связанная с помещением ребенка в закрытое учреждение, влияющее на ребенка;Z62.2;59807
10059740;Проблема, связанная с потерей аппетита;F50.8;59808
10059741;Проблема, связанная с потерей любимого родственника в детстве;Z61.0;59809
10059742;Проблема, связанная с потерей права выкупа заложенного имущества;Z59.8;59810
10059743;Проблема, связанная с потерей самоуважения в детстве;Z61.3;59811
10059744;Проблема, связанная с появлением в семье мачехи, влияющее на ребенка;Z61.2;59812
10059745;Проблема, связанная с появлением в семье отчима, влиющее на ребенка;Z61.2;59813
10059746;Проблема, связанная с престарелым лицом;Z63.8;59814
10059747;Проблема, связанная с престарелым родителем;Z63.1;59815
10059748;Проблема, связанная с престарелым родителем супруга;Z63.1;59816
10059749;Проблема, связанная с престарелым родителем супруги;Z63.1;59817
10059750;Проблема, связанная с престарелыми родителями;Z63.1;59818
10059751;Проблема, связанная с престарелыми родителями супруга;Z63.1;59819
10059752;Проблема, связанная с престарелыми родителями супруги;Z63.1;59820
10059753;Проблема, связанная с приемным ребенком;Z63.8;59821
10059754;Проблема, связанная с признанием виновности судом;Z65.0;59822
10059755;Проблема, связанная с признанием виновности судом и тюремным заключением;Z65.1;59823
10059756;Проблема, связанная с принятием другой культуры;Z60.3;59824
10059757;Проблема, связанная с присутствием в доме больного;Z63.7;59825
10059758;Проблема, связанная с присутствием в доме больного, нуждающегося в уходе;Z63.6;59826
10059759;Проблема, связанная с присутствием в доме инвалида;Z63.7;59827
10059760;Проблема, связанная с присутствием в доме инвалида, нуждающегося в уходе;Z63.6;59828
10059761;Проблема, связанная с присутствием в семье больного;Z63.7;59829
10059762;Проблема, связанная с присутствием в семье больного, нуждающегося в уходе;Z63.6;59830
10059763;Проблема, связанная с присутствием в семье инвалида;Z63.7;59831
10059764;Проблема, связанная с присутствием в семье инвалида, нуждающегося в уходе;Z63.6;59832
10059765;Проблема, связанная с провалом школьных экзаменов;Z55.2;59833
10059766;Проблема, связанная с провалом экзаменов;Z55.2;59834
10059767;Проблема, связанная с профессией;Z56.7;59835
10059768;Проблема, связанная с процедурой опеки над ребенком;Z65.3;59836
10059769;Проблема, связанная с психикой;F48.9;59837
10059770;Проблема, связанная с психосексуальным развитием;F66.9;59838
10059771;Проблема, связанная с работой;Z56.7;59839
10059772;Проблема, связанная с развитием речи;F80.9;59840
10059773;Проблема, связанная с развитием языка;F80.9;59841
10059774;Проблема, связанная с разводом, приведшим к распаду семьи;Z63.5;59842
10059775;Проблема, связанная с разногласиями в семье;Z63.8;59843
10059776;Проблема, связанная с разногласиями между супругами;Z63.0;59844
10059777;Проблема, связанная с разногласиями между супругами с разводом;Z63.5;59845
10059778;Проблема, связанная с разногласиями с должностным лицом, надзирающим за испытуемым;Z64.4;59846
10059779;Проблема, связанная с разногласиями с начальником;Z56.4;59847
10059780;Проблема, связанная с разногласиями с официальным поручителем;Z64.4;59848
10059781;Проблема, связанная с разногласиями с партнером;Z63.0;59849
10059782;Проблема, связанная с разногласиями с попечителем;Z64.4;59850
10059783;Проблема, связанная с разногласиями с поручителем;Z64.4;59851
10059784;Проблема, связанная с разногласиями с постояльцами;Z59.2;59852
10059785;Проблема, связанная с разногласиями с работодателем;Z56.4;59853
10059786;Проблема, связанная с разногласиями с родителями жены;Z63.1;59854
10059787;Проблема, связанная с разногласиями с родителями мужа;Z63.1;59855
10059788;Проблема, связанная с разногласиями с родственниками жены;Z63.1;59856
10059789;Проблема, связанная с разногласиями с родственниками мужа;Z63.1;59857
10059790;Проблема, связанная с разногласиями с семьей;Z63.8;59858
10059791;Проблема, связанная с разногласиями с советником;Z64.4;59859
10059792;Проблема, связанная с разногласиями с соседями;Z59.2;59860
10059793;Проблема, связанная с разногласиями с сослуживцами;Z56.4;59861
10059794;Проблема, связанная с разногласиями с соучениками;Z55.4;59862
10059795;Проблема, связанная с разногласиями с социальным работником;Z64.4;59863
10059796;Проблема, связанная с разногласиями с супругом;Z63.0;59864
10059797;Проблема, связанная с разногласиями с товарищами по работе;Z56.4;59865
10059798;Проблема, связанная с разногласиями с учителями;Z55.4;59866
10059799;Проблема, связанная с разногласиями с хозяином;Z59.2;59867
10059800;Проблема, связанная с разногласиями с хозяином дома;Z59.2;59868
10059801;Проблема, связанная с разногласиями с хозяином квартиры;Z59.2;59869
10059802;Проблема, связанная с разногласиями с членами семьи;Z63.8;59870
10059803;Проблема, связанная с разногласиями с членами семьи уточненная;Z63.9;59871
10059804;Проблема, связанная с расовой дискриминацией;Z60.5;59872
10059805;Проблема, связанная с расстройством идентификации;F93.8;59873
10059806;Проблема, связанная с расстройством идентификации в детском возрасте;F93.8;59874
10059807;Проблема, связанная с расстройством личности;F61;59875
10059808;Проблема, связанная с расстройством поведения;F69;59876
10059809;Проблема, связанная с расстройством поведения у взрослого;F69;59877
10059810;Проблема, связанная с расстройством речи;F80.9;59878
10059811;Проблема, связанная с расстройством эмоциональным в детстве;F93.8;59879
10059812;Проблема, связанная с религиозной дискриминацией;Z60.5;59880
10059813;Проблема, связанная с речью;R47.8;59881
10059814;Проблема, связанная с рискованным сексуальным поведением;Z72.5;59882
10059815;Проблема, связанная с родителями;Z63.1;59883
10059816;Проблема, связанная с родственниками супруга;Z63.1;59884
10059817;Проблема, связанная с родственниками супруги;Z63.1;59885
10059818;Проблема, связанная с рождением брата или сестры, влияющим на ребенка;Z61.2;59886
10059819;Проблема, связанная с сексуальным насилием со стороны не члена семьи в детстве;Z61.5;59887
10059820;Проблема, связанная с сексуальным насилием со стороны члена семьи в детстве;Z61.4;59888
10059821;Проблема, связанная с сексуальным насилием, якобы имевшее место со стороны не члена семьи в детстве;Z61.5;59889
10059822;Проблема, связанная с сексуальным насилием, якобы имевшее место со стороны члена семьи в детстве;Z61.4;59890
10059823;Проблема, связанная с семейными условиями;Z59.9;59891
10059824;Проблема, связанная с семьей;Z63.9;59892
10059825;Проблема, связанная с сильным испугом в детстве;Z61.7;59893
10059826;Проблема, связанная с советником;Z64.4;59894
10059827;Проблема, связанная с соседями;Z59.2;59895
10059828;Проблема, связанная с социальной изоляцией и остракизмом;Z60.4;59896
10059829;Проблема, связанная с социальным окружением;Z60.9;59897
10059830;Проблема, связанная с социальным окружением уточненная;Z60.8;59898
10059831;Проблема, связанная с социальным работником;Z64.4;59899
10059832;Проблема, связанная с супружеством;Z63.0;59900
10059833;Проблема, связанная с супружеством, включающая идентификацию пола;F66.2;59901
10059834;Проблема, связанная с супружеством, включающая развод;Z63.5;59902
10059835;Проблема, связанная с терапевтической помощью в семье;Z63.6;59903
10059836;Проблема, связанная с терапевтической помощью уточненная;Z75.8;59904
10059837;Проблема, связанная с трудностями принятия другой культуры;Z60.3;59905
10059838;Проблема, связанная с тюремным заключением;Z65.1;59906
10059839;Проблема, связанная с тяжелыми условиями труда;Z56.5;59907
10059840;Проблема, связанная с угрозой лишиться работы;Z56.2;59908
10059841;Проблема, связанная с употреблением алкоголя;Z72.1;59909
10059842;Проблема, связанная с употреблением наркотиков;Z72.2;59910
10059843;Проблема, связанная с усыновлением ребенка;Z63.8;59911
10059844;Проблема, связанная с уточненными неблагоприятными жизненными событиями в детстве;Z61.8;59912
10059845;Проблема, связанная с утратой любимого родственника в детстве;Z61.0;59913
10059846;Проблема, связанная с утратой самоуважения в детстве;Z61.3;59914
10059847;Проблема, связанная с уходом в отставку;Z60.0;59915
10059848;Проблема, связанная с уходом на пенсию;Z60.0;59916
10059849;Проблема, связанная с уходом от активной работы;Z60.0;59917
10059850;Проблема, связанная с ухом;H93.9;59918
10059851;Проблема, связанная с физическим насилием в детстве;Z61.6;59919
10059852;Проблема, связанная с физическим насилием, якобы имевшим место в детстве;Z61.6;59920
10059853;Проблема, связанная с физическими факторами окружающей среды;Z58.9;59921
10059854;Проблема, связанная с физическими факторами окружающей среды на работе;Z57.9;59922
10059855;Проблема, связанная с физическими факторами окружающей среды на работе уточненная;Z57.8;59923
10059856;Проблема, связанная с физическими факторами окружающей среды уточненная;Z58.8;59924
10059857;Проблема, связанная с хозяевами жилища;Z59.2;59925
10059858;Проблема, связанная с этнической дискриминацией;Z60.5;59926
10059859;Проблема, связанная со звучанием голоса;R47.8;59927
10059860;Проблема, связанная со склонностью к азартным играм и пари;Z72.6;59928
10059861;Проблема, связанная со слухом;H91.9;59929
10059862;Проблема, связанная со сменой работы;Z56.1;59930
10059863;Проблемы, связанные со зрением;H54.9;59931
10059864;Прободение свода неба;Q35.3;59932
10059865;Провал на экзамене, вызывающий нервный стресс;Z55.2;59933
10059866;Проверка слуха;Z01.1;59934
